,PIR/LIR,Location,202511,202510,202509,GENERATE
0,PIR,전국,6.92913,6.88971,6.872,2026-07-05 00:24:51.693281
1,PIR,서울시,8.50448,8.75581,8.69346,2026-07-05 00:24:51.693281
2,PIR,부산시,7.03039,7.44688,7.39709,2026-07-05 00:24:51.693281
3,PIR,대구시,6.14696,6.88186,7.18222,2026-07-05 00:24:51.693281
4,PIR,인천시,7.58911,7.48602,7.55502,2026-07-05 00:24:51.693281
5,PIR,,7.08233,6.70936,6.36931,2026-07-05 00:24:51.693281
6,PIR,대전시,6.61888,7.27383,6.69019,2026-07-05 00:24:51.693281
7,PIR,울산시,6.34559,5.92524,6.50216,2026-07-05 00:24:51.693281
8,PIR,세종시,7.01382,7.34193,8.08196,2026-07-05 00:24:51.693281
9,PIR,경기도,7.6781,7.77841,7.82005,2026-07-05 00:24:51.693281
10,PIR,강원도,5.59547,5.50346,5.34752,2026-07-05 00:24:51.693281
11,PIR,충청북도,5.36009,5.32349,5.61051,2026-07-05 00:24:51.693281
12,PIR,충청남도,5.82997,5.49125,6.00728,2026-07-05 00:24:51.693281
13,PIR,전라북도,5.65379,5.38318,5.66001,2026-07-05 00:24:51.693281
14,PIR,전남광주시,4.80458,4.73133,4.67265,2026-07-05 00:24:51.693281
15,PIR,경상북도,4.77484,4.57702,4.71506,2026-07-05 00:24:51.693281
16,PIR,경상남도,5.47804,5.43482,5.33152,2026-07-05 00:24:51.693281
17,PIR,제주도,6.74101,6.34263,6.29365,2026-07-05 00:24:51.693281
