key,ko,en
meta.lang,ko,en
meta.title,리얼랭커스 - 입지 분석의 표준 | 아파트 실거래가,Realrankus - The Standard of Location Analysis | Apartment Real Transaction Prices
meta.description,"입지 분석의 표준 | 숫자로 보는 아파트 입지 분석, 리얼랭커스 | 아파트 실거래가","Data-driven apartment location analysis in South Korea. Check real transaction prices, living, transport, infrastructure, and education scores on Realrankus."
meta.og_title,리얼랭커스,Realrankus
meta.og_description,입지 분석의 표준 | 아파트 실거래가,The Standard of Location Analysis | Apartment Real Transaction Prices in South Korea
meta.og_site_name,리얼랭커스,Realrankus
meta.twitter_description,"입지 분석의 표준 | 숫자로 보는 아파트 입지 분석, 리얼랭커스 | 아파트 실거래가","Data-driven apartment location analysis in South Korea. Check real transaction prices, living, transport, infrastructure, and education scores on Realrankus."
meta.keywords,"리얼랭커스, 아파트순위, 부동산, 아파트, 입지, 순위, 아파트입지, 우리동네, 호가, 대장아파트, 최고가, 신고가, 호재, AI, 등수, 아파트 실거래가, 아파트 시세, 재건축, 재개발, 실거래가, 시세, 호가, 매매, 전세, 월세","Realrankus, apartment ranking, real estate Korea, apartment, location analysis, ranking, apartment prices, market value, transaction prices, sale, lease, rent"
meta.apple_title,리얼랭커스,Realrankus
meta.canonical,https://www.realrankus.com/,https://www.realrankus.com/en/
ui.title_text,리얼랭커스,Realrankus
ui.search_placeholder,어느 단지를 찾아볼까요?,Which complex are you looking for?
ui.search_example,"예) 강남 래미안, 래미안 힐스테이트, 주공","e.g.) Gangnam Raemian, Hillstate, Jugong"
ui.unified_search_placeholder,두 글자 이상 입력해 주세요,Enter at least 2 characters
ui.nationwide_search,전국검색,Nationwide
ui.local_search,지역내검색,Local
ui.region_search_notice,전국 시군구 이름으로 검색합니다.,Search by city/district name.
ui.region_search_placeholder,어느 시군구를 찾아볼까요?,Which district are you looking for?
ui.region_search_example,"예) 서울, 창원, 강남, 서구","e.g.) Seoul, Changwon, Gangnam, Seo-gu"
ui.compare_search_placeholder,전국 단지를 검색하세요,Search complexes nationwide
ui.loading_rank,단지별 랭크를 계산하고 있어요!,Calculating rankings for each complex!
